episode,episode_steps,episode_reward,max_tile
1,907,1044.0,128.0
2,695,764.0,64.0
3,804,600.0,64.0
4,2047,3008.0,256.0
5,591,780.0,64.0
6,168,140.0,16.0
7,218,204.0,16.0
8,525,708.0,64.0
9,583,820.0,64.0
10,379,968.0,64.0
11,844,2468.0,256.0
12,1239,4792.0,512.0
13,157,756.0,64.0
14,421,2848.0,256.0
15,411,2424.0,256.0
16,190,680.0,64.0
17,163,584.0,64.0
18,218,1504.0,128.0
19,499,2824.0,256.0
20,333,1416.0,128.0
21,383,2196.0,128.0
22,471,2840.0,256.0
23,215,1416.0,128.0
24,238,1524.0,128.0
25,116,676.0,64.0
26,239,1032.0,128.0
27,154,1576.0,128.0
28,160,1112.0,128.0
29,478,3096.0,256.0
30,402,2332.0,256.0
31,174,1324.0,128.0
32,178,1304.0,128.0
33,346,2508.0,256.0
34,127,1264.0,128.0
35,347,1300.0,128.0
36,313,2748.0,256.0
37,379,1620.0,128.0
38,327,3164.0,256.0
39,255,2436.0,256.0
40,288,3076.0,256.0
41,350,3272.0,256.0
42,194,2044.0,128.0
43,123,620.0,64.0
44,588,3136.0,256.0
45,165,1156.0,128.0
46,551,5160.0,512.0
47,320,1360.0,128.0
48,309,1344.0,128.0
49,411,5352.0,512.0
50,613,3076.0,256.0
51,233,1644.0,128.0
52,216,2684.0,256.0
53,343,3156.0,256.0
54,131,1380.0,128.0
55,372,3004.0,256.0
56,220,2260.0,256.0
57,172,1564.0,128.0
58,84,616.0,64.0
59,155,1424.0,128.0
60,304,3404.0,256.0
61,109,704.0,64.0
62,388,2772.0,256.0
63,337,2572.0,256.0
64,274,2432.0,256.0
65,206,2580.0,256.0
66,212,1552.0,128.0
67,262,2100.0,128.0
68,328,2568.0,256.0
69,388,2864.0,256.0
70,326,3028.0,256.0
71,321,3024.0,256.0
72,652,6740.0,512.0
73,343,3160.0,256.0
74,325,2688.0,256.0
75,386,3192.0,256.0
76,168,1392.0,128.0
77,389,4484.0,512.0
78,314,2944.0,256.0
79,227,1096.0,128.0
80,252,2256.0,256.0
81,193,1528.0,128.0
82,263,2860.0,256.0
83,269,3068.0,256.0
84,137,1392.0,128.0
85,208,1300.0,128.0
86,430,2980.0,256.0
87,297,3432.0,256.0
88,158,1268.0,128.0
89,180,1324.0,128.0
90,306,2084.0,128.0
91,250,2096.0,256.0
92,433,4572.0,512.0
93,196,1248.0,128.0
94,127,864.0,64.0
95,252,2996.0,256.0
96,176,1500.0,128.0
97,450,3072.0,256.0
98,232,2948.0,256.0
99,526,3232.0,256.0
100,332,3064.0,256.0
101,150,1332.0,128.0
102,245,2812.0,256.0
103,328,2748.0,256.0
104,223,2412.0,128.0
105,383,2272.0,256.0
106,252,3264.0,256.0
107,221,2732.0,256.0
108,293,2524.0,256.0
109,370,3080.0,256.0
110,238,2800.0,256.0
111,307,3224.0,256.0
112,390,5200.0,512.0
113,103,1040.0,128.0
114,286,3108.0,256.0
115,279,2836.0,256.0
116,393,5016.0,512.0
117,308,2896.0,256.0
118,259,2848.0,256.0
119,249,3204.0,256.0
120,360,3180.0,256.0
121,336,2936.0,256.0
122,242,2940.0,256.0
123,126,1316.0,128.0
124,310,3328.0,256.0
125,447,4620.0,512.0
126,526,6236.0,512.0
127,333,5184.0,512.0
128,229,2684.0,256.0
129,309,3076.0,256.0
130,277,3692.0,256.0
131,341,2936.0,256.0
132,589,6212.0,512.0
133,376,3996.0,256.0
134,164,1372.0,128.0
135,317,4244.0,512.0
136,366,3028.0,256.0
137,145,1436.0,128.0
138,307,2988.0,256.0
139,263,3020.0,256.0
140,386,3584.0,256.0
141,305,2372.0,256.0
142,196,1548.0,128.0
143,258,2088.0,256.0
144,274,3088.0,256.0
145,261,2740.0,256.0
146,207,2320.0,256.0
147,327,3380.0,256.0
148,339,3004.0,256.0
149,221,1928.0,128.0
150,374,4420.0,256.0
151,451,6252.0,512.0
152,286,2472.0,256.0
153,198,2280.0,256.0
154,420,4680.0,512.0
155,301,2936.0,256.0
156,296,3240.0,256.0
157,337,2700.0,256.0
158,241,1700.0,128.0
159,395,5040.0,512.0
160,256,2352.0,256.0
161,255,3072.0,256.0
162,211,2252.0,256.0
163,226,2720.0,256.0
164,383,4640.0,512.0
165,374,3140.0,256.0
166,339,3160.0,256.0
167,225,1732.0,128.0
168,277,2996.0,256.0
169,517,6952.0,512.0
170,422,5988.0,512.0
171,407,4356.0,256.0
172,453,5040.0,512.0
173,226,2708.0,256.0
174,280,3328.0,256.0
175,316,4568.0,512.0
176,300,3040.0,256.0
177,204,2476.0,256.0
178,404,5272.0,512.0
179,370,3112.0,256.0
180,320,2980.0,256.0
181,186,2268.0,256.0
182,202,2560.0,256.0
183,216,1216.0,128.0
184,256,2680.0,256.0
185,366,3248.0,256.0
186,241,3012.0,256.0
187,264,2948.0,256.0
188,274,2808.0,256.0
189,239,2972.0,256.0
190,235,2936.0,256.0
191,260,3408.0,256.0
192,421,3620.0,256.0
193,216,2720.0,256.0
194,474,5296.0,512.0
195,515,5144.0,512.0
196,140,1460.0,128.0
197,316,2700.0,256.0
198,109,672.0,64.0
199,320,2928.0,256.0
200,380,5076.0,512.0
201,475,3384.0,256.0
202,355,4772.0,512.0
203,189,1524.0,128.0
204,179,1716.0,128.0
205,334,3028.0,256.0
206,197,2248.0,256.0
207,205,2492.0,256.0
208,272,1732.0,128.0
209,310,3088.0,256.0
210,196,1692.0,128.0
211,146,1292.0,128.0
212,247,3056.0,256.0
213,193,1380.0,128.0
214,214,2392.0,256.0
215,251,3020.0,256.0
216,166,1200.0,128.0
217,217,2420.0,256.0
218,331,3064.0,256.0
219,174,1380.0,128.0
220,749,6492.0,512.0
221,393,2816.0,256.0
222,382,3072.0,256.0
223,489,5280.0,512.0
224,220,1352.0,128.0
225,213,1332.0,128.0
226,217,1956.0,128.0
227,280,1420.0,128.0
228,303,2556.0,256.0
229,218,1596.0,128.0
230,408,2428.0,256.0
231,160,1612.0,128.0
232,149,1392.0,128.0
233,377,2840.0,256.0
234,279,2956.0,256.0
235,447,6144.0,512.0
236,361,3000.0,256.0
237,349,3168.0,256.0
238,196,2240.0,256.0
239,244,3012.0,256.0
240,447,2584.0,256.0
241,388,3976.0,256.0
242,199,1436.0,128.0
243,384,3968.0,256.0
244,338,3060.0,256.0
245,423,2964.0,256.0
246,523,5472.0,512.0
247,238,2504.0,256.0
248,442,3212.0,256.0
249,365,3100.0,256.0
250,456,2864.0,256.0
251,405,3256.0,256.0
252,449,6228.0,512.0
253,343,5044.0,512.0
254,471,5032.0,512.0
255,493,5192.0,512.0
256,275,2104.0,128.0
257,329,3544.0,256.0
258,401,3592.0,256.0
259,206,2028.0,128.0
260,317,3176.0,256.0
261,335,3172.0,256.0
262,384,3048.0,256.0
263,800,8524.0,512.0
264,486,6192.0,512.0
265,237,2340.0,256.0
266,487,6904.0,512.0
267,274,2336.0,256.0
268,176,1296.0,128.0
269,280,2348.0,256.0
270,580,6188.0,512.0
271,568,3536.0,256.0
272,183,1304.0,128.0
273,194,2232.0,256.0
274,192,2328.0,256.0
275,311,3024.0,256.0
276,224,2064.0,128.0
277,663,4536.0,512.0
278,464,4548.0,512.0
279,456,3028.0,256.0
280,289,2812.0,256.0
281,287,2396.0,256.0
282,284,2928.0,256.0
283,314,2384.0,256.0
284,110,1052.0,128.0
285,250,1600.0,128.0
286,548,7068.0,512.0
287,502,6004.0,512.0
288,552,6564.0,512.0
289,390,3804.0,256.0
290,312,3076.0,256.0
291,364,3120.0,256.0
292,463,5236.0,512.0
293,309,3740.0,256.0
294,290,2976.0,256.0
295,460,3704.0,256.0
296,121,968.0,64.0
297,256,2172.0,128.0
298,600,6724.0,512.0
299,418,5984.0,512.0
300,348,2640.0,256.0
301,420,4428.0,256.0
302,306,3252.0,256.0
303,426,4600.0,512.0
304,210,2644.0,256.0
305,268,3268.0,256.0
306,618,6880.0,512.0
307,278,2360.0,256.0
308,237,2932.0,256.0
309,323,3000.0,256.0
310,293,2452.0,256.0
311,277,2984.0,256.0
312,192,2384.0,256.0
313,479,4956.0,512.0
314,447,5336.0,512.0
315,395,5304.0,512.0
316,191,2016.0,256.0
317,317,3028.0,256.0
318,611,6764.0,512.0
319,298,3628.0,256.0
320,209,1376.0,128.0
321,406,5048.0,512.0
322,579,4520.0,512.0
323,421,3232.0,256.0
324,539,3856.0,256.0
325,306,3020.0,256.0
326,292,2772.0,256.0
327,155,800.0,64.0
328,482,5344.0,512.0
329,478,6308.0,512.0
330,190,1364.0,128.0
331,457,6652.0,512.0
332,318,3396.0,256.0
333,272,1160.0,128.0
334,266,2972.0,256.0
335,639,6984.0,512.0
336,528,3608.0,256.0
337,456,4444.0,512.0
338,436,5248.0,512.0
339,406,5196.0,512.0
340,229,2540.0,256.0
341,324,3568.0,256.0
342,444,4580.0,512.0
343,141,828.0,64.0
344,304,3424.0,256.0
345,348,4956.0,512.0
346,183,1348.0,128.0
347,338,3332.0,256.0
348,508,3440.0,256.0
349,241,2816.0,256.0
350,237,2232.0,256.0
351,361,3720.0,256.0
352,319,3088.0,256.0
353,407,3488.0,256.0
354,505,6168.0,512.0
355,256,3224.0,256.0
356,198,2068.0,256.0
357,314,2780.0,256.0
358,378,2120.0,128.0
359,268,2704.0,256.0
360,201,1372.0,128.0
361,518,3928.0,256.0
362,203,2236.0,256.0
363,480,4372.0,256.0
364,320,4048.0,256.0
365,637,6768.0,512.0
366,340,3128.0,256.0
367,307,3540.0,256.0
368,220,1836.0,128.0
369,292,2380.0,256.0
370,647,8488.0,512.0
371,217,1980.0,128.0
372,274,2888.0,256.0
373,279,3184.0,256.0
374,294,2892.0,256.0
375,325,3152.0,256.0
376,267,2808.0,256.0
377,301,3144.0,256.0
378,241,2636.0,256.0
379,219,1480.0,128.0
380,528,6160.0,512.0
381,244,2972.0,256.0
382,368,3488.0,256.0
383,257,1392.0,128.0
384,338,4228.0,512.0
385,718,6412.0,512.0
386,247,3100.0,256.0
387,270,2392.0,256.0
388,255,2552.0,256.0
389,498,6524.0,512.0
390,573,6260.0,512.0
391,172,1068.0,128.0
392,312,3300.0,256.0
393,286,3444.0,256.0
394,269,3572.0,256.0
395,124,1004.0,128.0
396,256,2856.0,256.0
397,312,3200.0,256.0
398,319,3588.0,256.0
399,184,2252.0,256.0
400,251,2984.0,256.0
401,228,2952.0,256.0
402,174,1368.0,128.0
403,345,3188.0,256.0
404,380,3300.0,256.0
405,297,2876.0,256.0
406,326,3412.0,256.0
407,533,5344.0,512.0
408,228,2356.0,256.0
409,196,1356.0,128.0
410,324,3308.0,256.0
411,339,5100.0,512.0
412,235,2276.0,256.0
413,262,2800.0,256.0
414,344,2944.0,256.0
415,298,3036.0,256.0
416,148,1348.0,128.0
417,222,1540.0,128.0
418,394,4040.0,256.0
419,132,1352.0,128.0
420,637,4668.0,512.0
421,484,3112.0,256.0
422,543,6576.0,512.0
423,273,2880.0,256.0
424,277,2916.0,256.0
425,386,3676.0,256.0
